site	location	review_title	review_date_original	review_rating	review_text
NakedWines	GB	The best way to explore wine in a safe and helpful way.	19 September 2023	Rated 5 out of 5 stars	Everything about Naked Wines is excellent. Maybe the best thing to know for people wondering if to join up, is that from day one, you will be well treated, and the service really is first class. Oh, and, you'll get delicious wines whilst helping the small growers worldwide. I still buy some supermarket wine, but wonder why.
NakedWines	GB	I've been using Naked Wines since the…	08 September 2023	Rated 5 out of 5 stars	I've been using Naked Wines since the pandemic.Simple.Easy budgeting. Good service.Good value.Always GREAT wine!
NakedWines	GB	Two Accounts Boomer	12 September 2023	Rated 5 out of 5 stars	I somehow created two accounts over the past 24 months - real boomer tech idiocy- never got round to sorting it out - finally did yesterday - the rep on the phone was brilliant- professional and engaging and very helpful,Two became one in 30 minutes !!!!Brilliant
NakedWines	GB	Box delivered as requested to our front…	25 September 2023	Rated 5 out of 5 stars	Box delivered as requested to our front door. Ideal.
NakedWines	GB	Back to prompt reliable deliveries 🎊	07 September 2023	Rated 5 out of 5 stars	Thank goodness Naked Wines have sorted out their delivery process. The previous two deliveries have taken an age to arrive resulting in me having to purchase elsewhere. As an Angel for over ten years I had grown used to getting my wine promptly, I am happy to say that my latest order arrived today after ordering just yesterday......
NakedWines	GB	The free vouchers are a CON	25 September 2023	Rated 1 out of 5 stars	The free vouchers are a CON. When you send for your first free £75 voucher, you are then signed up to a monthly subscription of buying a full box of wine paying by direct debit in advance. The  you have to contact them to  stop the monthly subscription
NakedWines	GB	Great wines, good customer service, sensible pricing	07 August 2023	Rated 5 out of 5 stars	I like the Angel process. As a wine novice I find their descriptions helpful & accurate as I develop my knowledge of, and taste for wines. A great range of wines, excellent customer service, and well priced (for Angels).Really pleased I signed up.
NakedWines	GB	I received a voucher 75£ from another…	24 September 2023	Rated 1 out of 5 stars	"I received a voucher 75£ from another online company for my loyalty. When I used the voucher with Naked Wines I put in my basket  77£ of wine, + delivery 8£. So I have to buy 85£ of wine.... what a joke.. nevertheless on the site if you want to buy a good wine at a good price you need to be, ""Angel""....  Damn thieves...."
NakedWines	GB	Excellent Wine & Customer Service.	22 August 2023	Rated 5 out of 5 stars	Excellent Wine & Customer Service.Naked have an amazing choice of wines at all prices.I really like the Angel system, as I feel that this is a real benefit to small producers, allowing Naked to invest in them.Their customer service has been exemplary. The two times I have had a problem they have sorted it immediately and with no fuss.All in all I think that for me, the customer experience is one of the best.  I would highly recommend them.
NakedWines	GB	Good wine and great firm to deal with	28 July 2023	Rated 5 out of 5 stars	"Responsive to contacting them via their AI bot. Their wines, which used to seem expensive, have now become a more acceptable price and the quality is above others available in the UK at similar prices. I like their Angel winemakers ""wall"" where they leave notes and videos of their vineyards and technical descriptions. I also like the regular 'free' gifts. Such as a Litre of special gin or a magnum of good quality wine that accompanies your order."
NakedWines	GB	'Heavenly' experience! lol	14 August 2023	Rated 5 out of 5 stars	I've been an 'Angel' for quite a while now and can't really fault anything. Good choice of product, nice occasional 'freebies', excellent delivery system and a stellar customer service team, particularly Lea(h)?. Thanks guys!
NakedWines	GB	Been a member for a number of years…	26 July 2023	Rated 5 out of 5 stars	Been a member for a number of years now, and rarely been even remotely with any of the offerings.It's clear that Naked Wines is getting more and more switched on to monetising each transaction. You log in, make your choices, then next process is to push a couple more bottles with another offer, then try and push a little more again.On the side I received an incentive to save £8 on the Christmas case if I stumped up a third of the payment now - hardly an incentive, although to be fair the offer is a  brilliant one!No need to pay £7.99 for delivery, your order will come quickly anyway.Still brilliant wines on offer
NakedWines	US	We are totally loving Naked Wines	01 August 2023	Rated 5 out of 5 stars	We are totally loving Naked Wines.  The quality of what we have gotten is just incredible.  The shipping was phenomenal, great and safe box.  The price was outrageously reasonable.  I have not tastes wines of that quality for double the price per bottle, it is amazing.  We thoroughly enjoy our experience and the best things is the quality of the wines.  Cheers :)
NakedWines	GB	Great wine, great service and an easy-to-use website	20 July 2023	Rated 5 out of 5 stars	Rarely have we been disappointed with a bottle of wine from Naked Wines but, even then, there was nothing wrong with them, it was just a matter of taste. Almost always the wines are superb and we have found favourite producers to whom we return but, at the same time, taking the opportunity to try new ones. The easy-to-use website is a great help with making a selection. It could be labyrinthine but it is not and one is directed to new wines that are likely to be to your taste. Great service all round: you don't have to kiss a lot frogs to find your prince with Naked Wines.
NakedWines	GB	A great company	07 July 2023	Rated 5 out of 5 stars	A great company; totally nailed it. Friendly, prompt service, lots of choice, lots of interactive stuff, helpful descriptions and pointers. And best of all - great wine (and you can feel virtuous while you drink it, in the knowledge that you're helping some small, independent wine companies).
NakedWines	GB	I received a voucher from another…	20 September 2023	Rated 1 out of 5 stars	I received a voucher from another online company for my loyalty. When I used the voucher with Naked Wines they have rejected my order due to my partner having used them about 5 years ago.I am DISGUSTED with Naked Wines and was considering using them in the future as I was under the impression that they had been taken over by Majestic wines and did not exist anymore.They are NOT a reputable company and what is the point of another company giving me a voucher for my loyalty if they do not honour it.A DISGUSTED  FUTURE CUSTOMER !!!!!!!!!!!!!
NakedWines	GB	Really annoyed that I have been…	23 September 2023	Rated 1 out of 5 stars	Really annoyed that I have been informed today that a case of wine is out for delivery. I did not order this but there is no-one to speak to today
NakedWines	GB	drink naked wine	22 July 2023	Rated 5 out of 5 stars	My wife purchased some items from another company, she received a voucher from naked wines, I had a look the wines seem to be good value( lots of tasting to come). Free delivery plus a free bottle win win
NakedWines	GB	Beautiful wines from lovely people	18 June 2023	Rated 5 out of 5 stars	I recently joined naked wines, as my husband seemed to turn into a connoisseur overnight, and I wanted to know where all the amazing wines appeared from! And I am super happy with every aspect of the experience. Great wines, great customer service, great value..no more disappointing supermarket wines at inflated prices..just beautiful made wines offered at great prices. They recommend wines that I might like and if I don't like something..its easily remedied.I can't recommend them highly enough.
