site	location	review_title	review_date_original	review_rating	review_text
firstleaf	US	This is obviously a money grab/scam	11 September 2023	Rated 1 out of 5 stars	This is obviously a money grab/scam. Horrible customer service, they will continue to charge you despite saying they have cancelled your subscription. I was finally able to get them to stop charging my card (4 months after I have writing that they were cancelling my subscription) by letting them know I was going to contact the BBB.
firstleaf	US	Absolute garbage	27 August 2023	Rated 1 out of 5 stars	Absolute garbage, cancelled repeatedly online and still ran the club purchase through. Refused to cancel/refund to the charges account because I wasn’t the first leaf account holder (I’m the spouse and my spouse is at work and unable to call) even when I was able to give them all the requested information (to include account information, the bank name, exact amount, and date the charge was put through)Following Firstleaf response, she tried twice to cancel using the methods you mentioned and just an fyi, that was my card that was used for the charge so….perhaps the card owner should have the capability to cancel the charge????
firstleaf	US	I very much enjoy this wine…	25 June 2023	Rated 5 out of 5 stars	I very much enjoy this wine subscription, they don’t just send you a couple of bottles but send you the rights wines using your personal taste profile. After just two shipments almost every wine they send is SPOT ON!
firstleaf	US	First Leaf: Wines are tailored to your ratings…	21 June 2023	Rated 5 out of 5 stars	Wines are tailored to your ratings which is true. I have had 5 mos of 98 % great wines from many unusual regions I would never have access to try based on my rating my club selections.
firstleaf	US	Excellent wines	30 April 2023	Rated 5 out of 5 stars	Excellent wines.  Great service.  Curated for you, but you can swap out any wines that you may feel unsure of before they are shipped.  Great flexibility on when you receive your wines
firstleaf	US	Happy Camper Club Member	02 April 2023	Rated 5 out of 5 stars	I am a club member and get a box every 3 months. I enjoy the surprises sent, but I am also glad that I can preview the box, and make edits. The descriptions provided for the wines as accurate and therefore useful in making swap decisions.I do occasionally take advantage of sales to order non-club shipments. It is nice to stock up a bit on wines from the club order that we really liked.
firstleaf	US	On time delivery as expected	24 April 2023	Rated 4 out of 5 stars	On time delivery as expected, 5 for 6 great choices, however I’m not quite sure how to get a refund for the one horrible bottle. I’ve got to pay more attention to the choices and swaps. Would give 5 stars if there were an app for members,,very inconvenient having to find an old email. One upcoming concern for my scheduled summer deliveries, may have to cancel for these very hot TX summers, fluctuating temps on wine would cause ill effects on them. Will get in touch with a concierge, which by the way is a great convenience!
firstleaf	US	The good and the bad	22 February 2023	Rated 5 out of 5 stars	The three most appreciated characteristics of Firstleaf for me are: 1. knowing the exact shipping dates, 2. being able to alter shipping dates, and 3. the ability to exercise some control over the actual wines to be shipped.Now the negatives: substituting a different wine for one in the upcoming shipment would mean a lot more if the actual substitute was given or (could be chosen) and then a choice could be made between the two. the option of substituting for an unknown wine and then being prevented from going back to the original selection is, quite frankly, a bunch of bull. You can do better!
firstleaf	US	aEnjoying wines including international ones	18 August 2022	Rated 5 out of 5 stars	appreciate the wide variety ad countries  served in our wine selections. Expands my horizons. Joined wine institute back in 1963. Aficcionado of wines ever since. Prefer your gold and some silver award winners greatly. Enjoy some non awarded wines.few haven'tcared for.Didin't know I could call and receive credit for the unfavorite ones(very few(.
firstleaf	US	A great way to increase your wine savvy!	26 November 2022	Rated 5 out of 5 stars	I have been able to learn about new wines and try varieties I didn’t know about. I’m gaining a better understanding of my own palate, as well. The information available on wines is super helpful in selecting which wines to try. It takes the guesswork out of wine selection, which has enabled me to be more adventurous.
