site	location	review_title	review_date_original	review_rating	review_text
vivino	AU	Terrible customer service	13 September 2023	Rated 1 out of 5 stars	I ordered 6 bottles of Grant Burge, 4 of the 6 bottles were undrinkable, the bottles fizzed when opened & bubbled up pink in the glass. They had obviously gone off, I notified Vinino customer service & as it was outside the 30 day’s delivery date, they offered no recourse except for free shipping on my next order. As if I’d order from them again!!
vivino	DK	Customer service like no other	13 August 2023	Rated 5 out of 5 stars	Excellent customer service! Actually, best one I had in years 👍👍👍They figured out my order made no sense and called to check if that’s what I really wanted ( I didn’t ). Great communication and easy to reach out. Responsive on both phone and mail.
vivino	GB	Contributed for years now there’s a fee for basic features	28 August 2023	Rated 1 out of 5 stars	Another user of the apps for years and now can’t even scan a wine to get a rating. Fine if you were to ask a sub for more complex features, but scanning and rating helps you provide a better service to others. App is now useless without a sub so will look for something else.
vivino	US	I have been using Vivino for years to…	27 June 2023	Rated 5 out of 5 stars	I have been using Vivino for years to just check ratings from users on wine but after  basically being blind sided by the abrupt closure of Underground Cellar and their business practices I have turned to Vivino for my wine purchases from their vendors and have not been disappointed.  Vivino keeps track of your orders and makes sure your orders ships or communicates if there is a delay.  Don’t hesitate Vivino is for real, give them a try you won’t be disappointed.
vivino	US	Thrilled about my first experience	14 June 2023	Rated 5 out of 5 stars	I recently made my first purchase and was very impressed with this site’s ease of use, excellent communications and support.  The wines I bought are manufactured in Moldova, my homeland that I recently visited and got to try them there. Lupii by Gitana winery is a cashmere red blend  with a 75% base of Cabernet and a delightful wine. I am so thrilled that this site made it available for purchase in the US, what a treat!
vivino	DE	Love it	19 June 2023	Rated 5 out of 5 stars	It's not only an app - it's my notebook for my tastings & suggestion pool. Only one drawback - you can't ship the desirable wine to every country you wish to.
vivino	US	Now residing in Georgia	14 May 2023	Rated 5 out of 5 stars	Now residing in Georgia, my wife enjoys a specific wine from California and we asked a few package stores if they could bring in the item.  No luck at any stores.  Started shopping online and found the pricing was the same as what we paid when we lived in California.  Had the wine delivered to our home within a week.  Great experience.
vivino	FR	A great first purchase from Vivino	17 April 2023	Rated 5 out of 5 stars	My son brought some Australian wine from England which was very good. After checking the details on Vivino they sent an interesting offer to purchase the same wine. The price was the best seen and as a sweetener they offered free delivery. The wine (The Black Stump, Durif Shiraz 2021) and the offer were too good to miss. Easy to order on line and delivery was ahead of the scheduled date. Altogether excellent service.
vivino	US	Good overall	10 May 2023	Rated 4 out of 5 stars	Good overall.  However, considering that someone 21 years old must sign, it would be nice if Vivino used a logistics company or app that had more flexibility.  We had to jump through hoops to have the package dropped at a center to pick-up.
vivino	US	The order arrived fast and well packed	28 June 2023	Rated 3 out of 5 stars	The order arrived fast and well packed. We have only tried one bottle of wine so far, and unfortunately we did not like it. To make matters worse, it was a $36 bottle of wine. I wish there was a way to get a full or even partial refund on bottles they match you with that end up not being one you enjoy. Another wine club I am apart of does that and it’s something that keeps me as a customer coming back because I know my preferences matter to them.
vivino	US	Very Good First Experience…	04 April 2023	Rated 5 out of 5 stars	Learned of a moderate priced Pinot in Wine Spectator that I thought worth a try.  Went to vinyard's website, and vintage recommended was no longer available.   Found on Vivino via Google, so ordered a case and shipping was also very reasonable.   Very good experience.
vivino	JP	I dont buy any wines without checking…	11 June 2023	Rated 4 out of 5 stars	I dont buy any wines without checking Vivino first. A supermaket offered an Amarone for a very low price. Seemingly a good buy but when checking Vivino, the price on offer was basically normal street value. Thanks Vivino for guiding me every time.
vivino	US	Even after I dithered 4-months before…	17 June 2023	Rated 5 out of 5 stars	Even after I dithered 4-months before ordering the wine that I spotted, Vivino had the item in stock and readily available.  I had it in my hands within 3 or 4 days, at the price originally offered.
vivino	US	Need a better courier company.	20 June 2023	Rated 4 out of 5 stars	As I didn't receive anything for four days I finally called after a week and asked when my order would be shipped and I was told it would arrive the next day.  So I waited at home but it did not arrive till Friday.  I understand it is the courier but if you are using a courier company, shouldn't you be able to coordinate with them so that they send you an email letting you know the date and an approximate time of delivery?
vivino	ES	Ruined.	09 August 2023	Rated 1 out of 5 stars	This was a very good app. Now it’s next to useless as you can’t look up selection of wines you are considering or purchasing without agreeing to yet another monthly subscription.  I’ve bought a lot through the app over the years which should be more than enough “gain” for the owners but refuse to go down the sub path. I’m not alone. Bye bye.
vivino	US	I’ve had a really good experience with…	23 April 2023	Rated 5 out of 5 stars	I’ve had a really good experience with Vivino from beginning to end. Their website is easy to navigate and had just enough info to be helpful.  I was pleased with the discount I received but was a little disappointed when I thought it was going to take a couple of weeks to receive my wine. However, it actually came in just a few days!  I will definitely use Vivino again and will recommend it to others.
vivino	US	Extremely disappointed…I placed an …	23 July 2023	Rated 1 out of 5 stars	Extremely disappointed…I placed an  order of almost $600 in wine, Sunday July 23rd. Today is August 1st and According to Vivino, the order was delivered yet I didn’t receive anything nor signed for any package while showing my ID like I have done with FedEx in the past with other orders I h placed with this company. I received two FedEx tracking numbers, one shows order being delivered the second one states the order is being processed. Credit card has been charged, still haven’t received any wine. I contacted customer service and they can’t assist. I  even asked for proof of signature and no one seems to be able to provide that. I will never use Vivino again.
vivino	US	Sometimes you just need a nudge...	09 May 2023	Rated 5 out of 5 stars	Liked the unsolicited offer to purchase a wine I had just reviewed and liked.  This then ended up being the easiest case of wine I ever ordered, because it was a few buttons to push on the app, and then 3 days later the wine was delivered to my front door.  The most low hassle easy wine purchase I have made to date.
vivino	US	EVERYTHING ABOUT YOUR WEBSITE	16 May 2023	Rated 5 out of 5 stars	"EVERYTHING ABOUT YOUR WEBSITE, PLACING AN ORDER, PAYING AND RECEIVING THE SELECTED WINES BY MYSELF, ALL WERE GREAT!  THE ONLY THING LACKING, I SUPPOSE, WAS MY KNOWLEDGE OWHAT TO ORDER..........I WAS OKAY PLEASED WITH THE ONE ""RESERVE"" PINOT NOIR, BUT THE BROOKS JANUS PINOT NOIR, WAS A HINT TOO SWEET FOR MY TASTE!  I LOVE PINOT NOIRS, AND CAN SPEND REGULARLY $35 to $45 PER BOTTLE.........I THOUGHT MY SELECTIONS WERE OKAY.......BUT I SUPPOSE I AM SPOILED BY THE PINOT FROM THE R.STUART & Co. ------""MENEHEE"" ........., YAMHILL- CARLTON DISTRICT.........!  DO YOU ALL CARRY THIS PARTICULAR WINE......I WOULD LOVE TO KNOW??!! THANK YOU!"
vivino	CA	Late arrival	28 June 2023	Rated 3 out of 5 stars	The wine arrived fine, however according to my tracking app, it sat in the Kelowna airport for three plus days before it got picked up and delivered to my home! That needs to improve!
vivino	US	I love Vivino!	04 June 2023	Rated 5 out of 5 stars	I got a great deal on a wonderful case of my favorite Chardonnay.  It was delivered in just a few days and I even got free shipping with it!  I have never been disappointed with Vivino and highly recommend it!
vivino	US	A meaningful proportion of the wine we…	05 August 2023	Rated 2 out of 5 stars	A meaningful proportion of the wine we received was corked, we had 2 bad bottles of expensive champagne.  Not judging but it seems that the sources are not shipping their best bottles through this service. We’re really not using it anymore…
vivino	US	Fantastic prices, fast shipping	07 June 2023	Rated 5 out of 5 stars	Purchased several bottles of wine for great prices! Packaging was excellent and everything arrived safely. Would definitely purchase through Vivino again.
vivino	US	First time order very successful!	29 March 2023	Rated 5 out of 5 stars	Ordering the wine was easy! I even forgot to use a code to get 15% off. I contacted customer service immediately after placing my order and they were able to refund the discount! The wine arrived just fine and I was notified along the way. I'll be ordering again!
vivino	GB	I have used Vivino for 5 years. for a number of…	12 August 2023	Rated 1 out of 5 stars	"I have used Vivino for a number of years. Good wines, decent prices and excellent customer service. If I want to continue using Vivino, apparently I have to take out their ""Premium"" subscription.  Their app is designed not to give you alternatives, and communication directly appears non existent. So, so disappointed."
vivino	US	Following up my negative review from…	15 June 2023	Rated 4 out of 5 stars	Following up my negative review from the issue I had,  Vivino did resolve the issue appropriately,  albeit a bit slowly in my thinking. Customer service was very helpful when I placed a follow up call the rep was able to resolve in a few mns.
