site	location	review_title	review_date_original	review_rating	review_text
wineaccess	US	One of the best selections of old and new world wines from world-class producers	03 December 2022	Rated 5 out of 5 stars	One of the best selections of old and new world wines from world-class producers. Most of these wines are only found in the best wine shops and are not available to those of us living where all you can find is Kim Crawford and grocery store wines. It's true access to great wines across different price points. Over time I have also subscribed to three of their different wine clubs and they deliver a great selection every time.
wineaccess	US	Always amazing	30 June 2022	Rated 5 out of 5 stars	Everything I've gotten from Wine Access has been great, and their customer service is always the best!
wineaccess	US	Annoying minor add-on fee	07 October 2022	Rated 3 out of 5 stars	I was about to order wine today when I noticed a minor add-on fee which I take to be the cost of delivery insurance being pasted on to the customer. It reminds me on airline baggage fee. The company would be better served to increase the bottle cost that would be less annoying. I did not place the order.
wineaccess	US	Questionable Quality Control	27 March 2022	Rated 1 out of 5 stars	The wine was delivered as promised, but the supposedly high quality wine was terrible. I purchased several bottles of 2018 Gary Farrell Russian River Chardonnay last fall with the idea of giving them as Christmas gifts. Luckily, I tasted one beforehand and was shocked at how bad it was. I got a hint of the problem when I found a chunk of cork in the bottle that didn't match the cork I removed. Was it recorked because it had leaked? Was it recorked because the wine was replaced with something else? I can't trust a supplier that doesn't check it's product.
wineaccess	US	One of my favorite places to spend…	21 June 2019	Rated 5 out of 5 stars	One of my favorite places to spend money. The wide variety of wines, plus very exceptional surprises like an Alma Rosa chardonnay from Richard Sanford and the great releases of old vine zinfandels from the Santa Rosa area, as well as some great Australian and Argentinian selections continually blow my socks off. I have been a client of yours for over 2 years and have come to continually trust your judgement. Keep 'em coming. Nissler
wineaccess	GB	Good and Reliable Supplier	22 June 2019	Rated 4 out of 5 stars	Reliable although th commentary on some of the wines is a bit hyperbolic. Not every Cabernet from California is truly outstanding. They are in the sales business so fair enough. Tough to find but some reasonably priced Burgundy (say under $100) would be good. The Burgundies I've bought from them, white in particular have been good.
wineaccess	US	I truly appreciate Wine Access	21 June 2019	Rated 5 out of 5 stars	I truly appreciate Wine Access.  Wide range of wines offered - many countries, varietals, price points, styles, etc. - wines for aging, wines for immediate consumption.  Great customer service - always responsive and helpful.  Plus, they let ME decide when and how I want my wines shipped - amazing.  Only downside is that my state limits the number of bottles I can have shipped from online retailer, so, waaah, I'm always missing out on wines I'd love to order.
wineaccess	CA	Don't join outside Ontario	06 January 2022	Rated 1 out of 5 stars	Wine Access clubs have some great wines, however don't join is you live outside Ontario.  They don't handle shipping well and won't take any responsibility for damage.  I recently had a case of wine delivered frozen.  Half the corks had been pushed out the case was a soggy mess held together in a ball by packing tape.  Wine Access refused to refund or replace the case.
wineaccess	US	Long-time member who has probably…	14 June 2019	Rated 4 out of 5 stars	Long-time member who has probably bought 100 or more cases. Aside from a rare disappointment consistently very good wines at reasonable prices. There are many online wine buying options these days and WineAccess is in the top three for me. Strong recommendation.
wineaccess	US	Wine Access is great!	08 December 2018	Rated 5 out of 5 stars	Almost every wine I have bought through Wine Access has been a winner. Great variety of wines especially in the lower price range. Staff has been very helpful when I needed to deal with shipping issues. As I live in a warm climate I appreciate the availability of the special packaging available to protect the wine during warm weather months.
wineaccess	US	Good valued wines seemed to have…	06 December 2018	Rated 3 out of 5 stars	Good valued wines seemed to have disappeared ever since the new snazzy web pages were released.There is no longer a draw for me to buy a case of good wine from WineAccess any more - since I could get just a single bottle of the same wine from K&L locally in the Silicon Valley for about the same case-offer price from WineAccess.
wineaccess	US	We have been Wine Access customers for…	25 February 2021	Rated 1 out of 5 stars	We have been Wine Access customers for several years. We placed an order for a couple cases for a party we are hosting. We needed delivery the week of Feb 20th. There was inclement weather earlier but 2/21-2/25 were clear days. We signed waiver for delivery on 2/25. We called. We confirmed. We have emails.Wine Access lied to us about the delivery. They refused to answer the phone. A terrible customer experience. You cannot count on them to deliver or to tell the truth.
wineaccess	US	I like the main Wine Access offerings…	16 June 2019	Rated 4 out of 5 stars	I like the main Wine Access offerings especially the ease of ordering where I'm already signed in-- slam dunk.  But the wine specialist offerings, there are no large buy signs, just a large amount of text with two underlined words in it.  Then it doesn't go into my account but necessitates signing in.  On several occasions I had difficulty then finding the exact wine I wanted among the other offering that I had to sort thru.
wineaccess	US	I have found many a great deal on an…	15 June 2019	Rated 5 out of 5 stars	I have found many a great deal on an amazing variety of wines, including those you cannot find elsewhere at any price because of their many connections with winery owners throughout the world. Plus the convenience of shopping from home is an extra. My experience with Wine Access and their customer service has always been positive. I'm a big fan.
