site	location	review_title	review_date_original	review_rating	review_text
winedirect	GB	Would give no stars if I could	21 August 2023	Rated 1 out of 5 stars	Would give no stars if I could.  Ordered some very nice wine for my brother-in-laws 60th birthday, wine status has been pending since.  Have made numerous phone calls and online enquiries, all have been ignored.   If this company is having problems, stop taking orders and start talking to the customers whose money you have taken.  I'll be contacting my credit card company today to start a chargeback claim (as it was under £100), and I'll be contacting Trading Standards.   Biggest regret is I didn't check Trust Pilot before ordering, I will do in future for companies I've not dealt with before.
winedirect	GB	This is a scam… order wines two months…	08 August 2023	Rated 1 out of 5 stars	This is a scam… order wines two months ago. On the website still says pending. They’ve taken my money immediately after the order. Sent various emails, nor reply; called their only number which apparently is not available. Save your time and money, don’t buy from this, at best unprofessional, company.
winedirect	GB	Poor service and communication	15 September 2023	Rated 1 out of 5 stars	Poor service and communication (not answering phone or responding to email) seems to be a recurring theme. I eventually got 50% of my order that's me done with them  having been a customer for nearly 10 years. They have always had a great range of wines but for whatever reason their ability to fulfil orders and communicate with customers has gown downhill these last few years
winedirect	GB	Wish I had read the trustpilot reviews	17 September 2023	Rated 1 out of 5 stars	Wish I had read the trustpilot reviews. £155 out of pocket, no communication, no response at all to my many calls messages and emails. And more importantly NO wine. I’m not sure how to get my money back, but I will be trying ….
winedirect	GB	STAY CLEAR OF THIS COMPANY!!!	25 September 2023	Rated 1 out of 5 stars	Would give 0 stars if I could - absolute shambles of a company. Placed and paid for my wine order 24 Aug - a month later and status when I check is still 'Pending', and no one answers the phone when you call the number listed on their site, just rings and rings until it goes to voicemail! Hoping I'll be able to get my money back!
winedirect	GB	Arrived after months	18 May 2023	Rated 3 out of 5 stars	I ordered wine in May 2023. After reading reviews I had pretty much kissed goodbye to my money. No response when I sent an enquiry. However, suddenly yesterday my order status was updated to packed and it arrived today - no items missing.So, customer service terrible but I'm just grateful that I did receive it eventually
winedirect	GB	Great local wine company	01 September 2023	Rated 5 out of 5 stars	Regularly order my wine from here and always pleased with the selection available. Fast service and would definitely recommend - team there are very knowledgeable
winedirect	GB	Same experience!	19 September 2023	Rated 1 out of 5 stars	I really wish I could say something different than had already been said but sadly not. Ordered some hard to get Barolo but a month later my order remains “pending”. I did get a couple of email responses from Helen promising delivery “next week” but sadly next week never came. I even offered to visit the business as it’s only a few miles away from me but they didn’t reply to this. Not sure what’s going on with this retailer but there are clearly some significant issues. Would advise people to avoid them! I managed to get a refund from my credit card company!
winedirect	GB	No wine, no comms, no refund, no service... stay away	15 August 2023	Rated 1 out of 5 stars	Order placed 15/08/2023 for one case of wine. No communications, no estimated delivery, very frustrating. I did once get through on the phone and I was PROMISED a delivery, but it never arrived. That was two weeks ago. Now they don't answer the phone at all, ever. This company is really cheating customers. I stupidly paid by debit card, and not credit card, or I would have got the card vendor involved and claimed a refund. This company is a bunch of sharks... only buy here if you want to make a charitable donation... as you will never see your wine.
winedirect	GB	Poor Customer Service	02 August 2023	Rated 1 out of 5 stars	On 2nd August, I ordered a few bottles of nice wine for an event ten days later and spent almost £100. The order just stayed as ‘pending’. Once the event passed I requested a refund - four different times. Eventually, a nice lady called to apologise and said she would issue an immediate refund; that was three weeks ago. I have chased this again but never expect to get my money back.
winedirect	GB	Do not buy wine from these guys. Doesn't even deserve the 1 star	21 September 2023	Rated 1 out of 5 stars	doesn't even deserve the 1 star. I have waited over three months now and tried phoning several times as well as sending e-mails to no avail. This is a terrible way to treat people and what they are doing is illegal.Their site should be banned from advertising.
winedirect	AU	Appears to be plain theft	09 September 2023	Rated 1 out of 5 stars	Appears to be plain theft. I spent nearly £100 on 9th September for a very special gift for a once in a lifetime occasion. After a couple of days the link to my order update, which had read ‘pending’, led to a blank page. A huge alarm bell obviously. I have emailed, used their contact form, posted on their Facebook page, and used the email address on their Facebook page (it bounced).
winedirect	GB	Do not use!	06 September 2023	Rated 1 out of 5 stars	"Do not buy! They will ""pending"" your order and you'll never receive anything. Get your money back via contacting your bank and setting up a charge-back dispute."
winedirect	GB	Having been reassured my order would…	18 September 2023	Rated 1 out of 5 stars	Having been reassured my order would imminently arrive since the 7th of May I now realise I will never receive the goods. I have been unable to reach the company by phone to again be reassured of their struggles to meet my order. I will never do business with this company again!
winedirect	GB	Customer service has not improved.. be very careful	20 September 2023	Rated 1 out of 5 stars	My order was on 8th July.  No news or update until I started phoning.  Issues with the warehouse, then it was being brought into the country.  Promises of it being delivered never went through.  After three days just now of calling the company up to ten times throughout the day trying to reach someone (it just went to voicemail) I gave up fearing the worst and initiated a dispute via my credit card company for non-delivery hoping to get my money back.  I let the company know this yesterday by phone message and by email.  Today, unannounced, the wine has been delivered so I did eventually receive something, unlike some of the other reviews.  However it is 2022 and not 2018 as promised (ordered 2017 which became out of stock) so very little information on how it is drinking/will be drinking.  Whatever their issues are, I am not going through two months of worry again that I may have been defrauded.  I can no longer trust what I may be told by them with regard to my order.
winedirect	GB	Absolutely appalling company	14 September 2023	Rated 1 out of 5 stars	Absolutely appalling company, ordered wine on 3rd July 2023, its now the 14th of September and nothing! No updates, they dont answer the phone or written enquiries. Why are companies like this allowed to continue to trade. I plan on turning up at their premises and causing merry hell. SCAMMERS!!!! DO NOT USE THIS LOT!
winedirect	CA	Scam or just catastrophically badly organised?	29 June 2023	Rated 1 out of 5 stars	I ordered a bottle of wine on June 29th 2023 for my brother-in-law's birthday. It never arrived, though the money left my Visa account on the same day. I asked for an update on August 2nd... no reply. Repeated my request for a progress report on August 30th. Still no reply. I see from the Trustpilot site that the company changed hands in June, and hope that the new owner didn't pay too much for it, because the service sucks, as is confirmed by the fact that as of today, 53% of their reviews are one-star. I don't know if this execrable service is caused by inefficiency or dishonesty, but either way, AVOID THEM LIKE THE PLAGUE!
winedirect	GB	Excellent	19 June 2023	Rated 5 out of 5 stars	Recently read the Trustpilot reviews ,with entrapadation, there was no need ...James as just recently taken over the business ,and with all new businesses ,it takes time to iron out ALL issues ,which I am sure James will do .Upon order ,delivery was 2 weeks .A company I will be using again for there superb SA wine selection alone WELL DONE ..
winedirect	GB	Non Existent Customer Service	14 September 2023	Rated 1 out of 5 stars	Ordered some fine back in July and still has not arrived,  which can happen from time to time.  What I am finding extremely disappointing is that have left telephone messages and emailed a number of times and am yet to get a response.  What happed to good old customer service.
winedirect	GB	The wines I ordered are now available. Hope they can turn things around.	28 August 2023	Rated 3 out of 5 stars	This is an update on my previous review.The wines I ordered from this company are now available and I hope that they will be able to turn things around.
winedirect	GB	Ordered wine on August 31st and…	31 August 2023	Rated 1 out of 5 stars	Ordered wine on August 31st and confirmed with order processing but nothing since. Numerous emails and phone calls were unanswered.Have requested refund from credit card. DO NOT USE THIS FRAUDULENT website.
